r1 r2 r3 r4 r5 r6 
26.40 28.04 28.98 30.07 32.23 36.06 
26.40 28.05 29.00 30.04 32.25 36.11 
26.74 28.26 29.46 30.42 32.61 36.64 
26.67 28.32 29.49 30.45 32.62 36.66 
26.72 28.34 29.52 30.46 32.63 36.69 
28.69 29.03 30.03 31.62 33.79 37.74 
28.56 29.04 29.99 31.61 33.76 37.64 
28.23 29.00 30.12 31.66 33.88 37.80 
28.89 29.69 30.87 32.09 34.55 38.21 
29.30 30.48 31.54 32.91 35.45 39.19 
29.19 30.44 31.62 32.99 35.50 39.23 
29.34 30.53 31.56 32.99 35.51 39.18 
28.89 29.80 31.03 32.28 34.75 38.58 
28.66 29.79 30.96 32.25 34.76 38.56 
29.07 29.86 31.10 32.29 34.85 38.61 
29.59 30.03 31.36 32.61 35.14 38.91 
29.56 30.06 31.36 32.60 35.14 38.90 
29.02 29.66 30.93 32.24 34.56 38.32 
28.93 29.73 30.97 32.28 34.65 38.31 
28.89 29.69 30.99 32.25 34.65 38.33 
28.14 29.24 30.48 31.72 34.11 37.90 
28.18 29.29 30.49 31.72 34.10 37.91 
28.14 29.32 30.48 31.75 34.14 37.90 
28.29 28.84 29.94 31.41 33.68 37.33 
28.22 28.83 29.99 31.43 33.70 37.38 
28.63 28.93 30.02 31.47 33.77 37.42 
28.54 29.09 30.27 31.43 33.79 37.65 
28.50 29.07 30.24 31.39 33.77 37.64 
28.48 29.25 30.37 31.33 33.81 37.73 
28.87 29.48 30.83 32.05 34.59 38.51 
28.63 29.53 30.67 31.97 34.39 38.31 
28.50 29.73 30.92 32.25 34.88 38.70 
28.57 29.79 30.96 32.33 34.96 38.73 
28.23 29.91 31.11 32.32 34.79 38.71 
28.70 29.93 31.12 32.31 34.89 38.64 
27.99 29.35 30.63 31.64 34.16 37.70 
27.96 29.45 30.72 31.76 34.23 37.83 
28.28 29.51 30.66 31.74 34.17 37.69 
28.30 29.46 30.57 31.63 34.07 37.42 
28.56 29.37 30.50 31.63 33.96 37.22 
28.13 29.11 30.15 31.10 33.34 36.56 
28.14 29.28 30.33 31.16 33.45 36.61 
28.13 29.26 30.20 31.10 33.33 36.41 
27.87 29.17 30.09 30.92 33.10 36.13 
27.70 28.93 29.90 30.86 32.74 35.62 
26.99 28.25 29.16 30.00 31.79 34.56 
27.21 28.34 29.24 30.10 31.92 34.65 
27.24 28.27 29.18 29.95 31.75 34.36 
27.05 28.22 29.14 29.83 31.53 34.07 
27.28 28.22 29.11 29.62 31.32 33.74 
27.05 28.11 29.00 29.46 31.03 33.51 
27.30 27.93 28.77 29.33 30.78 33.24 
26.73 27.75 28.42 28.98 30.38 32.67 
26.22 27.21 27.93 28.53 29.83 32.05 
26.19 27.17 28.03 28.40 29.73 31.95 
26.24 27.15 27.81 28.18 29.50 31.70 
26.19 26.97 27.60 27.97 29.18 31.22 
25.94 26.91 27.47 27.77 28.88 30.94 
25.85 26.72 27.23 27.53 28.66 30.61 
25.47 26.61 27.04 27.37 28.35 30.32 
25.70 26.24 26.80 27.07 27.97 29.91 
25.55 26.01 26.55 26.80 27.70 29.61 
24.86 25.59 26.01 26.30 27.14 29.07 
24.78 25.64 26.12 26.17 27.00 28.91 
24.60 25.56 25.92 26.05 26.82 28.62 
24.71 25.48 25.78 25.84 26.60 28.41 
24.71 25.25 25.64 25.69 26.35 28.16 
24.28 25.11 25.47 25.50 26.11 27.91 
24.23 24.97 25.27 25.31 25.94 27.64 
23.82 24.65 25.04 25.00 25.52 27.25 
23.80 24.61 24.83 24.75 25.30 26.98 
23.85 24.36 24.70 24.53 25.13 26.79 
23.38 24.17 24.31 24.25 24.67 26.38 
23.46 24.10 24.22 24.12 24.57 26.22 
23.33 23.85 24.03 24.03 24.33 26.02 
23.30 23.77 23.83 23.86 24.14 25.76 
23.13 23.58 23.74 23.62 23.89 25.53 
22.79 23.31 23.53 23.36 23.71 25.24 
22.71 23.11 23.29 23.13 23.42 24.93 
22.72 23.00 23.18 22.94 23.14 24.77 
21.82 22.54 22.63 22.50 22.62 24.26 
22.53 22.61 22.57 22.37 22.53 24.15 
22.02 22.50 22.51 22.28 22.37 24.01 
21.92 22.33 22.33 22.14 22.24 23.85 
21.49 22.23 22.05 21.88 21.94 23.57 
21.63 22.10 21.95 21.74 21.77 23.49 
21.44 21.97 21.79 21.55 21.59 23.28 
21.35 21.84 21.70 21.42 21.49 23.08 
21.26 21.54 21.46 21.16 21.24 22.88 
20.58 21.33 21.19 20.90 20.96 22.59 
20.56 21.24 21.06 20.77 20.80 22.45 
20.79 21.13 20.91 20.72 20.65 22.27 
20.40 20.88 20.79 20.48 20.45 22.11 
20.29 20.79 20.61 20.42 20.33 22.04 
20.20 20.68 20.47 20.25 20.19 21.84 
20.03 20.70 20.39 20.10 19.97 21.75 
19.84 20.47 20.22 19.90 19.79 21.50 
19.68 20.37 20.05 19.76 19.67 21.39 
